Lx_nm,Ly_nm,h_nm,a_nm,b_nm,Re_Exx,Im_Exx,Re_Eyy,Im_Eyy,Abs_Exx,Abs_Eyy,Phi_x_deg,Phi_y_deg
520,520,650,200,150,0.97076362,-0.21727601,0.54175879,-0.75480829,0.994781820519969,0.929106097921539,-12.6159989600077,-54.3313490530198
520,520,650,200,160,0.74383496,-0.59584958,0.4475036,-0.79219506,0.953061996779002,0.909853001919191,-38.6965002050215,-60.5383002035
520,520,650,200,180,0.49490325,-0.69788128,0.28016272,-0.85148861,0.855550996630242,0.896395003688402,-54.657599814872,-71.7873999549256
520,520,650,200,200,0.25268911,-0.78404324,0.25268303,-0.7840431,0.82375699602631,0.82375499774362,-72.1364001946817,-72.1367997105804
520,520,650,200,220,0.036208449,-0.78363893,0.154615,-0.80851905,0.784474999213187,0.82317000214895,-87.354499966724,-79.1738999006594
520,520,650,200,240,-0.2091686,-0.73815339,0.084332873,-0.81275646,0.767217003457595,0.81712000143196,-105.821000261832,-84.0761000166481
520,520,650,200,250,-0.52156926,-0.68500468,0.049447092,-0.81404862,0.860968004399031,0.815548999528024,-127.285999914774,-86.5239999859009
520,520,650,220,120,0.90667773,0.36879055,0.71933815,-0.65755775,0.978811001086142,0.974592001111483,22.1340002569345,-42.4308997780117
520,520,650,220,140,0.16626497,0.31863671,0.40124306,-0.82278317,0.359407002169859,0.915405996284388,62.4443998408456,-64.0031000071398
520,520,650,220,160,0.64210283,-0.65092918,0.19704455,-0.85482775,0.914333003707884,0.877244000751652,-45.3910999458438,-77.0196000716489
520,520,650,220,180,0.37744447,-0.77550351,-0.10864491,-0.92402883,0.862478997979603,0.93039399994845,-64.0474002522891,-96.7059002678096
520,520,650,220,200,0.15456543,-0.80849696,0.036185781,-0.78362296,0.823138995844764,0.784458000268811,-79.1770000746674,-87.3561000050996
520,520,650,220,220,-0.033000499,-0.80178316,-0.032993544,-0.80178444,0.802462004454937,0.802462997384798,-92.3568999615345,-92.3564000368978
520,520,650,220,240,-0.28073603,-0.7652843,-0.12087027,-0.78688694,0.815151997094193,0.796115995639101,-110.145000316589,-98.7326998263641
520,520,650,220,250,-0.79090887,-0.56721704,-0.16031784,-0.78343698,0.973278999624999,0.799672002419608,-144.352999936464,-101.565000046129
520,520,650,240,120,0.95586832,0.18051471,0.46483833,-0.82901008,0.972764003089139,0.950437996809258,10.6943001477969,-60.7199997463494
520,520,650,240,140,0.9597239,-0.25062623,0.13617868,-0.88070793,0.991909003586127,0.891173995834387,-14.6356002099031,-81.2102998257342
