file,f_THz,Txx_mag,Tyy_mag,Txy_mag,Tyx_mag
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",255.4,0.9378198224989701,0.9903303175668207,0.0006640236135635539,0.0010399528532390302
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",255.6,0.9386454040823937,0.9903407385304314,0.0006524435442434846,0.0010488374984166994
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",255.8,0.9395588109000947,0.9903231620052113,0.0006411716011872328,0.0010576404060232381
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",256.0,0.9405582106653473,0.9902771536620442,0.0006302322283452346,0.0010663379927518292
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",256.2,0.9416379173230495,0.9902027467387676,0.0006196479056891905,0.0010749031106550952
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",256.4,0.9427950616005633,0.9900991723282067,0.0006094354273628996,0.001083304722914564
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",256.6,0.9440254976524174,0.989965183976184,0.0005996085224294265,0.0010915105938931605
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",256.8,0.945324594802632,0.9898021027079101,0.0005901792053410557,0.0010994853860097457
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",257.0,0.9466870188460439,0.9896087750671979,0.0005811560219373108,0.0011071921129853662
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",257.2,0.94810649695116,0.9893847195813164,0.0005725475224380943,0.001114587075126928
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",257.4,0.9495796528748919,0.9891306786451425,0.0005643587588227899,0.0011216291011903177
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",257.6,0.9510998393701893,0.9888458633907511,0.0005565957809847287,0.00112827214605564
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",257.8,0.9526603563579205,0.9885300725784724,0.0005492632138601673,0.001134472889528877
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",258.0,0.9542574126392732,0.9881842408387213,0.0005423647724852712,0.001140169621291499
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",258.2,0.9558827755169564,0.9878070707602775,0.0005359048885651259,0.0011453233721966912
"MWS-sweep-01-0001.s4p (tair=800,tsub=1000)",258.4,0.9575304768752795,0.9873999636201128,0.0005298867441906808,0.0011498919123661144
